"longitude","latitude","type","url","record","observation_type","scientific_name","country","state_province","begin_date","end_date","source","remote_resource","locality","coordinate_uncertainty_in_meters","recorded_by","last_modified"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3355/","UCMP:V:3355","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3355&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:50.340094"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3584/","UCMP:V:3584","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3584&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:53.195165"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3725/","UCMP:V:3725","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3725&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:55.169780"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3726/","UCMP:V:3726","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3726&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:55.327543"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3727/","UCMP:V:3727","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3727&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:55.370890"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3730/","UCMP:V:3730","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3730&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:55.446439"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3755/","UCMP:V:3755","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3755&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:56.075327"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3758/","UCMP:V:3758","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3758&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:56.193906"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3779/","UCMP:V:3779","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3779&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:56.773047"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3780/","UCMP:V:3780","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3780&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:56.816671"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3781/","UCMP:V:3781","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3781&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:56.865290"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3783/","UCMP:V:3783","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3783&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:56.931995"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3784/","UCMP:V:3784","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3784&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:56.973942"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3797/","UCMP:V:3797","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3797&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:57.310694"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3806/","UCMP:V:3806","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3806&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:57.587313"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3827/","UCMP:V:3827","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3827&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:58.125346"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3828/","UCMP:V:3828","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3828&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:58.151028"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3834/","UCMP:V:3834","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3834&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:58.276905"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3847/","UCMP:V:3847","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3847&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:58.681800"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3855/","UCMP:V:3855","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3855&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:58.916122"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3861/","UCMP:V:3861","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3861&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:59.101227"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3866/","UCMP:V:3866","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3866&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:59.277119"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3868/","UCMP:V:3868","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3868&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:59.327205"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3882/","UCMP:V:3882","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3882&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:59.756134"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3884/","UCMP:V:3884","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3884&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:59.848937"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3885/","UCMP:V:3885","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3885&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:59.873514"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3887/","UCMP:V:3887","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3887&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:59.923672"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A3889/","UCMP:V:3889","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V3889&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:41:59.974199"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A4356/","UCMP:V:4356","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V4356&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:42:12.158282"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A4010/","UCMP:V:4010","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V4010&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:42:03.607911"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A4013/","UCMP:V:4013","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V4013&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:42:03.683615"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A4104/","UCMP:V:4104","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V4104&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:42:04.625364"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A4117/","UCMP:V:4117","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V4117&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:42:04.959381"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A4124/","UCMP:V:4124","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V4124&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:42:05.145195"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A4170/","UCMP:V:4170","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V4170&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:42:06.399695"
-122.2833,40.7917,"Feature","https://ecoengine.berkeley.edu/api/observations/UCMP%3AV%3A4177/","UCMP:V:4177","fossil","Ursus sp.","United States","California",NA,NA,"https://ecoengine.berkeley.edu/api/sources/21/","http://ucmpdb.berkeley.edu/cgi/ucmp_query2?spec_id=V4177&one=T","Potter Creek Cave","1000","SINCLAIR+FURLONG","2014-10-14T16:42:06.595451"
